 ra        dec       radius SpT   DM    PMra  PMdec    SPM    mem    memp   mem1
 51.66322  47.88235  1.2390 196   5.40  23.60 -26.90   1.10  98.93   0.31   0.46
 51.98234  47.73594  1.3926  38   6.06  22.60 -28.30   0.80  99.19   0.16   0.20
 50.27703  48.37255  1.2255 214   5.39   8.50 -15.90   0.70   0.00   0.00   0.00
 50.37596  48.49388  1.1004 149   5.92  22.30 -26.10   0.80  99.62   0.08   0.11
 50.41756  49.12022  0.8720 175   5.77  22.80 -25.60   0.70  99.68   0.07   0.09
 50.49421  49.21487  0.8266 134   6.27  21.20 -24.80   0.90  98.92   0.22   0.29
 50.57057  49.33255  0.7990 192   6.01   3.20 -28.30   0.60   0.00   0.00   0.00
 50.84523  49.37825  0.6446 207   4.12  20.10 -61.60   0.80   0.00   0.00   0.00
 50.92923  48.63449  0.7260 214   5.51  58.90 -11.80   0.90   0.00   0.00   0.00
 50.94723  48.60448  0.7380  34   5.97  19.70 -26.00   0.80  99.09   0.19   0.24
 50.95682  49.88040  0.9184 194   5.41  23.00 -44.50   1.10   0.00   0.00   0.00
 51.07987  49.22125  0.4497 148   5.86  22.50 -25.20   1.00  99.79   0.05   0.06
 51.12518  49.13994  0.4093  45   6.52  21.50 -24.20   0.60  97.62   0.64   0.90
 51.19617  48.41170  0.7968 191   5.76  22.80 -26.70   0.60  99.75   0.06   0.08
 51.26823  49.79542  0.7445 150   5.89  22.00 -25.50   1.00  99.71   0.06   0.08
 51.29177  49.25159  0.3271  54   6.59  21.50 -24.80   0.80  97.71   0.69   1.04
 51.33629  49.31615  0.3339  72   6.51  21.10 -24.50   0.80  97.97   0.55   0.76
 51.51267  49.79847  0.6958 145   5.85  13.80 -15.70   1.70   0.00   0.00   0.00
 51.54420  48.22174  0.9085  74   6.54  22.70 -26.60   0.80  98.27   0.49   0.73
 51.54521  48.38408  0.7482  28   6.64  24.10 -26.90   0.80  96.89   0.99   1.59
 51.64245  48.44775  0.6760 190   6.61  11.20 -11.80   0.90   0.00   0.00   0.00
 51.66981  48.77689  0.3471 185   5.74  22.70 -26.40   0.90  99.85   0.04   0.05
 51.70877  48.79224  0.3289 212   5.80  22.10 -27.50   1.00  99.84   0.04   0.05
 51.76351  48.78706  0.3331 199   5.70  22.20 -26.80   0.70  99.84   0.04   0.05
 51.90654  48.27296  0.8533  61   6.29  20.50 -27.60   0.80  98.78   0.25   0.33
 50.02611  50.96874  2.1547  39   5.85  23.40 -25.60   0.80  98.48   0.33   0.44
 50.09859  51.61836  2.7111  28   6.45  27.30 -25.60   1.10  39.73  11.15  10.77
 50.25053  50.99311  2.1059 207   4.90  20.20 -19.30   0.90   0.07   0.19   0.05
 50.60954  51.66096  2.6429 127   6.37  20.50 -21.30   0.60  14.24   8.89   6.23
 50.81099  51.92516  2.8679 201   6.54  22.50  -7.90   0.80   0.00   0.00   0.00
 50.92977  51.77035  2.7013  63   6.17  24.40 -24.90   0.60  93.20   1.49   2.07
 51.05630  51.71338  2.6307 192   6.15  10.10 -19.60   0.60   0.00   0.00   0.00
 51.10432  50.32627  1.2764 191   5.12  22.30 -24.80   1.80  95.10   1.80   3.26
 51.68368  51.71069  2.5910 175   4.57  47.90 -46.30   0.60   0.00   0.00   0.00
 50.00885  53.64075  4.6492 149   6.67  11.60 -16.50   0.60   0.00   0.00   0.00
 50.44339  52.73128  3.7038  70   6.19  14.70 -10.30   0.60   0.00   0.00   0.00
 51.15140  53.56255  4.4582 215   4.70   2.60 -30.50   1.20   0.00   0.00   0.00
 51.38290  53.65009  4.5359 198   5.60   9.80 -23.70   1.00   0.00   0.00   0.00
 51.48196  53.32267  4.2060  71   5.52  27.30 -15.40   0.80   0.00   0.00   0.00
 51.99657  53.69988  4.5825 208   5.71  16.20 -17.50   0.80   0.00   0.00   0.00
 52.01224  44.39014  4.7333 180   4.22  29.30 -38.10   0.80   0.00   0.00   0.00
 52.01424  44.33955  4.7839 170   4.89  29.00 -38.00   0.70   0.00   0.00   0.00
 53.04324  44.88067  4.3299 205   6.36  14.10 -20.40   0.80   0.00   0.00   0.00
 53.30045  44.15690  5.0757 178   5.63  25.10 -33.00   1.00   0.47   0.73   0.31
 53.39871  44.87118  4.3948 213   5.90  19.60 -26.80   0.70  54.45  10.15  11.36
 53.62445  45.80795  3.5459 186   5.38   6.70 -27.40   0.80   0.00   0.00   0.00
 53.72911  44.14097  5.1607 204   6.16  17.20 -29.10   1.60   0.93   1.09   0.56
 51.98234  47.73594  1.3926  38   6.06  22.60 -28.30   0.80  99.19   0.16   0.20
 52.02902  46.35447  2.7719 204   6.59  12.30 -14.10   1.00   0.00   0.00   0.00
 52.28643  47.78534  1.3813 202   4.75  15.20 -35.60   0.70   0.00   0.00   0.00
 52.45825  47.97686  1.2355  69   5.83  22.10 -26.00   0.80  99.53   0.10   0.13
 52.64156  47.62817  1.6051 121   6.10  21.00 -25.80   0.90  98.62   0.27   0.35
 53.19422  46.70087  2.6055 195   5.68  19.90 -23.30   1.40  72.61   6.60   8.58
 53.34286  47.42195  2.0018  71   6.34  21.70 -29.00   1.80  94.01   1.26   1.67
 53.59666  46.19914  3.1744 192   6.19   0.60 -28.60   0.60   0.00   0.00   0.00
